435	14:28:10.000 06/19/2017	48.792816	9.224125	271.90	224.30	4155535.80	674845.66	4775615.96	1.4
436	14:28:11.000 06/19/2017	48.792818	9.224122	272.00	224.40	4155535.68	674845.46	4775616.23	1.5
437	14:28:36.000 06/19/2017	48.792821	9.224136	273.80	226.20	4155536.49	674846.61	4775617.76	1.5
438	14:28:37.000 06/19/2017	48.792821	9.224136	273.80	226.20	4155536.48	674846.63	4775617.77	1.5
439	14:28:38.000 06/19/2017	48.792821	9.224136	273.80	226.20	4155536.48	674846.64	4775617.77	1.5
440	14:28:39.000 06/19/2017	48.792821	9.224136	273.90	226.30	4155536.55	674846.67	4775617.83	1.5
441	14:28:40.000 06/19/2017	48.792822	9.224135	273.90	226.30	4155536.41	674846.59	4775617.97	1.5
442	14:28:41.000 06/19/2017	48.792828	9.224128	274.00	226.40	4155536.10	674845.95	4775618.45	1.5
443	14:28:42.000 06/19/2017	48.792841	9.224109	274.00	226.40	4155535.23	674844.43	4775619.42	1.4
444	14:28:43.000 06/19/2017	48.792860	9.224082	274.00	226.40	4155534.02	674842.19	4775620.79	1.4
445	14:28:44.000 06/19/2017	48.792879	9.224049	274.00	226.40	4155532.84	674839.54	4775622.17	1.4
446	14:28:45.000 06/19/2017	48.792895	9.224010	273.90	226.30	4155531.91	674836.50	4775623.27	1.4
447	14:28:46.000 06/19/2017	48.792911	9.223969	273.70	226.10	4155530.91	674833.30	4775624.32	1.4
448	14:28:47.000 06/19/2017	48.792933	9.223931	273.60	226.00	4155529.52	674830.24	4775625.82	1.4
449	14:28:48.000 06/19/2017	48.792962	9.223901	273.50	225.90	4155527.40	674827.63	4775627.88	1.4
450	14:28:49.000 06/19/2017	48.792997	9.223884	273.50	225.90	4155524.72	674825.94	4775630.44	1.4
451	14:28:50.000 06/19/2017	48.793034	9.223878	273.40	225.80	4155521.63	674824.99	4775633.11	1.4
452	14:28:51.000 06/19/2017	48.793073	9.223871	273.40	225.80	4155518.52	674823.98	4775635.95	1.4
453	14:28:52.000 06/19/2017	48.793108	9.223849	273.10	225.50	4155515.70	674821.85	4775638.28	1.4
454	14:28:53.000 06/19/2017	48.793137	9.223811	273.00	225.40	4155513.70	674818.69	4775640.32	1.4
455	14:28:54.000 06/19/2017	48.793154	9.223759	272.90	225.30	4155512.76	674814.74	4775641.55	1.4
456	14:28:55.000 06/19/2017	48.793163	9.223704	272.90	225.30	4155512.68	674810.61	4775642.20	1.4
457	14:28:56.000 06/19/2017	48.793171	9.223650	272.90	225.30	4155512.70	674806.57	4775642.74	1.4
458	14:28:57.000 06/19/2017	48.793184	9.223599	272.90	225.30	4155512.21	674802.70	4775643.71	1.4
459	14:28:58.000 06/19/2017	48.793206	9.223560	272.80	225.20	4155510.77	674799.60	4775645.26	1.4
460	14:28:59.000 06/19/2017	48.793237	9.223536	272.80	225.20	4155508.48	674797.38	4775647.55	1.4
461	14:29:00.000 06/19/2017	48.793275	9.223525	272.70	225.10	4155505.47	674796.09	4775650.20	1.4
462	14:29:01.000 06/19/2017	48.793314	9.223516	272.60	225.00	4155502.28	674794.96	4775652.98	1.4
463	14:29:02.000 06/19/2017	48.793351	9.223500	272.60	225.00	4155499.42	674793.23	4775655.70	1.4
464	14:29:03.000 06/19/2017	48.793380	9.223465	272.50	224.90	4155497.31	674790.32	4775657.80	1.4
465	14:29:04.000 06/19/2017	48.793402	9.223422	272.40	224.80	4155496.00	674786.90	4775659.28	1.4
466	14:29:05.000 06/19/2017	48.793422	9.223380	272.50	224.90	4155494.91	674783.59	4775660.82	1.4
467	14:29:06.000 06/19/2017	48.793443	9.223342	272.50	224.90	4155493.56	674780.53	4775662.41	1.4
468	14:29:07.000 06/19/2017	48.793470	9.223309	272.50	224.90	4155491.76	674777.76	4775664.36	1.4
469	14:29:08.000 06/19/2017	48.793501	9.223283	272.50	224.90	4155489.48	674775.50	4775666.65	1.4
470	14:29:09.000 06/19/2017	48.793535	9.223260	272.50	224.90	4155486.98	674773.38	4775669.10	1.4
471	14:29:10.000 06/19/2017	48.793566	9.223229	272.40	224.80	4155484.70	674770.68	4775671.32	1.4
472	14:29:11.000 06/19/2017	48.793590	9.223184	272.40	224.80	4155483.21	674767.14	4775673.10	1.4
473	14:29:12.000 06/19/2017	48.793604	9.223131	272.40	224.80	4155482.68	674763.03	4775674.14	1.4
474	14:29:13.000 06/19/2017	48.793615	9.223076	272.30	224.70	4155482.38	674758.93	4775674.84	1.4
475	14:29:14.000 06/19/2017	48.793630	9.223025	272.30	224.70	4155481.73	674755.04	4775675.95	1.4
476	14:29:15.000 06/19/2017	48.793653	9.222980	272.20	224.60	4155480.31	674751.48	4775677.55	1.4
477	14:29:16.000 06/19/2017	48.793684	9.222944	272.30	224.70	4155478.23	674748.44	4775679.91	1.4
478	14:29:17.000 06/19/2017	48.793720	9.222911	272.30	224.70	4155475.66	674745.58	4775682.53	1.4
479	14:29:18.000 06/19/2017	48.793757	9.222880	272.30	224.70	4155472.99	674742.77	4775685.23	1.8
480	14:29:19.000 06/19/2017	48.793793	9.222846	272.30	224.70	4155470.44	674739.87	4775687.84	1.4
481	14:29:20.000 06/19/2017	48.793824	9.222809	272.30	224.70	4155468.27	674736.73	4775690.16	1.4
482	14:29:21.000 06/19/2017	48.793848	9.222762	272.40	224.80	4155466.92	674733.05	4775691.97	1.4
483	14:29:22.000 06/19/2017	48.793862	9.222708	272.40	224.80	4155466.42	674728.89	4775692.98	1.4
484	14:29:23.000 06/19/2017	48.793861	9.222648	272.40	224.80	4155467.18	674724.58	4775692.93	1.4
485	14:29:24.000 06/19/2017	48.793845	9.222591	272.50	224.90	4155469.24	674720.73	4775691.82	1.4
486	14:29:25.000 06/19/2017	48.793817	9.222544	272.50	224.90	4155472.13	674717.70	4775689.76	1.4
487	14:29:26.000 06/19/2017	48.793780	9.222510	272.40	224.80	4155475.46	674715.71	4775687.02	1.4
488	14:29:27.000 06/19/2017	48.793738	9.222489	272.30	224.70	4155479.16	674714.70	4775683.84	1.4
489	14:29:28.000 06/19/2017	48.793694	9.222480	272.30	224.70	4155482.89	674714.68	4775680.61	1.4
490	14:29:29.000 06/19/2017	48.793652	9.222484	272.20	224.60	4155486.23	674715.50	4775677.48	1.4
491	14:29:30.000 06/19/2017	48.793612	9.222498	272.10	224.50	4155489.30	674717.06	4775674.48	1.4
492	14:29:31.000 06/19/2017	48.793574	9.222522	272.00	224.40	4155492.09	674719.27	4775671.62	1.4
493	14:29:32.000 06/19/2017	48.793539	9.222553	271.90	224.30	4155494.59	674721.95	4775668.95	1.4
494	14:29:33.000 06/19/2017	48.793505	9.222590	271.80	224.20	4155496.84	674725.09	4775666.42	1.5
495	14:29:34.000 06/19/2017	48.793474	9.222632	271.90	224.30	4155498.97	674728.59	4775664.23	1.4
496	14:29:35.000 06/19/2017	48.793444	9.222676	271.80	224.20	4155500.91	674732.16	4775661.92	1.4
497	14:29:36.000 06/19/2017	48.793413	9.222720	271.80	224.20	4155502.92	674735.77	4775659.67	1.9
498	14:29:37.000 06/19/2017	48.793382	9.222765	271.70	224.10	4155504.91	674739.44	4775657.31	1.8
499	14:29:38.000 06/19/2017	48.793349	9.222809	271.70	224.10	4155507.14	674743.07	4775654.88	1.4
500	14:29:39.000 06/19/2017	48.793313	9.222848	271.70	224.10	4155509.60	674746.37	4775652.28	1.4
501	14:29:40.000 06/19/2017	48.793277	9.222884	271.80	224.20	4155512.26	674749.48	4775649.69	1.4
502	14:29:41.000 06/19/2017	48.793239	9.222918	271.90	224.30	4155515.09	674752.48	4775646.95	1.4
503	14:29:42.000 06/19/2017	48.793200	9.222952	271.90	224.30	4155517.87	674755.44	4775644.13	1.4
504	14:29:43.000 06/19/2017	48.793161	9.222986	271.90	224.30	4155520.65	674758.47	4775641.30	1.4
505	14:29:44.000 06/19/2017	48.793123	9.223023	271.90	224.30	4155523.40	674761.63	4775638.48	1.4
506	14:29:45.000 06/19/2017	48.793086	9.223063	271.90	224.30	4155526.00	674765.01	4775635.75	1.4
507	14:29:46.000 06/19/2017	48.793051	9.223104	272.00	224.40	4155528.48	674768.46	4775633.27	1.4
508	14:29:47.000 06/19/2017	48.793017	9.223146	272.10	224.50	4155530.81	674771.97	4775630.88	1.4
509	14:29:48.000 06/19/2017	48.792985	9.223189	272.10	224.50	4155532.94	674775.60	4775628.54	1.4
510	14:29:49.000 06/19/2017	48.792955	9.223236	272.20	224.60	4155534.95	674779.38	4775626.41	1.4
511	14:29:50.000 06/19/2017	48.792926	9.223284	272.20	224.60	4155536.80	674783.22	4775624.27	1.4
